Size_sqft,Bedrooms,Bathrooms,Location,YearBuilt,Price
3017.0,1.0,2,City,1976,812100
1826.0,1.0,3,City,2019,$547000
2575.0,3.0,1,City,1975,693700
3056.0,4.0,3,City,1982,848300
2827.0,5.0,1,Suburb,2013,806000
2900.0,3.0,1,City,1975,724400
3214.0,5.0,2,Suburb,1987,715100
1996.0,4.0,1,Suburb,1985,547900
1574.0,2.0,2,Suburb,1975,516700
1211.0,4.0,3,City,1980,418600
2831.0,3.0,2,City,2014,654200
2822.0,2.0,2,??,1972,715100
2006.0,2.0,1,City,1987,573400
2760.0,3.0,3,City,2015,867000
3030.0,2.0,2,City,2015,599600
1947.0,1.0,3,Suburb,1993,543800
3431.0,4.0,3,Rural,2010,857800
1737.0,1.0,2,City,1983,501100
2100.0,3.0,1,City,1989,554800
3051.0,2.0,2,City,1995,761200
1244.0,2.0,2,Rural,1991,359400
2532.0,5.0,2,City,2021,635800
1058.0,1.0,1,Suburb,1973,258900
972.0,1.0,1,Suburb,2007,307900
,4.0,1,Suburb,1994,604500
2482.0,2.0,1,City,2003,656900
1718.0,5.0,1,Suburb,2014,395900
1961.0,3.0,2,??,2002,546900
7000.0,,2,Rural,1990,399900
2610.0,1.0,2,City,2012,621300
3235.0,2.0,2,City,1982,919200
822.0,4.0,1,City,1997,366000
3003.0,4.0,2,Rural,1977,728300
2612.0,4.0,2,Suburb,2015,722300
2252.0,3.0,3,City,1985,$605600
890.0,5.0,2,City,2014,340300
3103.0,4.0,2,City,1994,946300
1738.0,4.0,2,Suburb,1977,537700
957.0,1.0,1,Suburb,1978,294000
1230.0,1.0,1,Suburb,1992,327300
3409.0,3.0,3,Suburb,1979,948600
3332.0,5.0,1,City,1975,935100
2622.0,4.0,2,City,1970,743700
3283.0,5.0,3,Suburb,1998,771900
2661.0,2.0,1,City,1980,761700
,2.0,1,City,2023,505700
1335.0,1.0,3,Subrb,1998,415400
1370.0,2.0,3,Suburb,2001,345900
2227.0,3.0,2,Rural,2019,595300
,1.0,2,City,2015,539000
1941.0,4.0,1,Suburb,2019,540000
1336.0,3.0,3,Rural,1978,376200
2137.0,1.0,1,Suburb,2017,544500
1149.0,,3,Rural,1975,344500
2867.0,1.0,3,Rural,2005,631900
2660.0,3.0,3,Suburb,2019,762700
2280.0,5.0,1,Suburb,2018,572400
2849.0,2.0,2,City,2015,763100
1928.0,1.0,3,,2016,519100
878.0,2.0,3,Suburb,1978,266200
2953.0,4.0,1,Suburb,2018,$800800
963.0,4.0,3,Suburb,1982,340800
3200.0,2.0,2,Rural,2001,642500
1912.0,4.0,2,City,1984,625800
1474.0,2.0,1,Suburb,1999,367500
1918.0,4.0,3,Suburb,2013,630100
3186.0,,2,Suburb,2001,895400
1612.0,5.0,2,Suburb,1982,583700
1726.0,3.0,1,City,1996,513700
2093.0,3.0,2,City,2023,609100
3332.0,5.0,1,City,1975,935100
2888.0,5.0,3,City,1987,916900
1132.0,3.0,1,Suburb,2017,238300
2927.0,1.0,1,City,2021,3000000
1850.0,3.0,3,Suburb,2018,$555100
3031.0,4.0,2,Suburb,1972,874300
2785.0,4.0,1,Suburb,1972,834000
1961.0,1.0,3,Rural,2002,571000
,4.0,3,,1998,383300
2230.0,1.0,3,City,2009,686400
1624.0,4.0,2,City,2019,467700
949.0,5.0,2,Suburb,1976,344100
3417.0,5.0,1,,1972,762200
2652.0,4.0,3,Suburb,1983,730300
2879.0,1.0,1,City,2006,715700
1091.0,5.0,1,,2004,419200
1162.0,5.0,1,Rural,2008,267100
1264.0,3.0,1,Suburb,1984,402200
1692.0,3.0,2,Suburb,1979,517400
1063.0,4.0,3,Rural,1972,315000
1507.0,1.0,2,Rural,2013,340800
2708.0,3.0,3,Suburb,2021,794900
2781.0,3.0,1,City,2012,724700
1784.0,2.0,1,Suburb,2022,570900
3294.0,3.0,1,Rural,2014,747800
2463.0,,2,Rural,1991,655100
913.0,2.0,2,Rural,2004,292500
2502.0,3.0,1,City,1986,722400
2014.0,1.0,2,City,2000,535300
2598.0,5.0,3,City,1997,688000
